user_id,group_name,group,perk
264470,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
276512,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
281952,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
283325,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
290123,Big Spenders,2,1 Night Free (with Flight Booking)
297546,Other Frequent Travelers,6,No Cancellation Fees
298253,Luxury Lovers,5,Free Hotel Meal
299476,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
306165,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
306819,Luxury Lovers,5,Free Hotel Meal
312488,Luxury Lovers,5,Free Hotel Meal
313724,Other Frequent Travelers,6,No Cancellation Fees
316527,Big Spenders,2,1 Night Free (with Flight Booking)
317688,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
322867,Luxury Lovers,5,Free Hotel Meal
324191,Luxury Lovers,5,Free Hotel Meal
328590,Big Spenders,2,1 Night Free (with Flight Booking)
330764,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
330893,Other Frequent Travelers,6,No Cancellation Fees
331039,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
334787,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
337227,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
338086,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
340166,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
343928,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
347778,Big Spenders,2,1 Night Free (with Flight Booking)
348817,Big Spenders,2,1 Night Free (with Flight Booking)
348863,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
349132,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
350648,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
353271,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
353694,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
354050,Big Spenders,2,1 Night Free (with Flight Booking)
354260,Luxury Lovers,5,Free Hotel Meal
354311,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
354950,Luxury Lovers,5,Free Hotel Meal
356046,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
357737,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
359072,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
359080,Luxury Lovers,5,Free Hotel Meal
359653,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
361459,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
361759,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
363535,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
365825,Luxury Lovers,5,Free Hotel Meal
371201,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
372970,Luxury Lovers,5,Free Hotel Meal
373489,Big Spenders,2,1 Night Free (with Flight Booking)
374331,Luxury Lovers,5,Free Hotel Meal
374340,Luxury Lovers,5,Free Hotel Meal
374341,Luxury Lovers,5,Free Hotel Meal
375160,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
375729,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
375751,Other Frequent Travelers,6,No Cancellation Fees
376159,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
377069,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
377411,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
378565,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
379543,Other Frequent Travelers,6,No Cancellation Fees
380434,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
380436,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
380757,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
380874,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
380949,Other Frequent Travelers,6,No Cancellation Fees
381259,Luxury Lovers,5,Free Hotel Meal
381465,Luxury Lovers,5,Free Hotel Meal
382181,Other Frequent Travelers,6,No Cancellation Fees
382384,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
382533,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
385689,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
386255,Luxury Lovers,5,Free Hotel Meal
386469,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
386914,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
387282,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
387783,Other Frequent Travelers,6,No Cancellation Fees
388328,Other Frequent Travelers,6,No Cancellation Fees
388767,Luxury Lovers,5,Free Hotel Meal
388947,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
389434,Other Frequent Travelers,6,No Cancellation Fees
389662,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
389759,Big Spenders,2,1 Night Free (with Flight Booking)
390811,Other Frequent Travelers,6,No Cancellation Fees
392453,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
395202,Luxury Lovers,5,Free Hotel Meal
395981,Big Spenders,2,1 Night Free (with Flight Booking)
396552,Other Frequent Travelers,6,No Cancellation Fees
399137,Other Frequent Travelers,6,No Cancellation Fees
399218,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
399799,Other Frequent Travelers,6,No Cancellation Fees
400275,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
400582,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
400899,Other Frequent Travelers,6,No Cancellation Fees
401245,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
402332,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
402978,Other Frequent Travelers,6,No Cancellation Fees
403881,Big Spenders,2,1 Night Free (with Flight Booking)
404879,Big Spenders,2,1 Night Free (with Flight Booking)
405305,Luxury Lovers,5,Free Hotel Meal
406210,Luxury Lovers,5,Free Hotel Meal
407118,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
407250,Other Frequent Travelers,6,No Cancellation Fees
407275,Other Frequent Travelers,6,No Cancellation Fees
407434,Luxury Lovers,5,Free Hotel Meal
407642,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
408551,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
409073,Other Frequent Travelers,6,No Cancellation Fees
411179,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
411701,Luxury Lovers,5,Free Hotel Meal
413128,Big Spenders,2,1 Night Free (with Flight Booking)
413340,Luxury Lovers,5,Free Hotel Meal
413418,Other Frequent Travelers,6,No Cancellation Fees
413658,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
414128,Big Spenders,2,1 Night Free (with Flight Booking)
415282,Big Spenders,2,1 Night Free (with Flight Booking)
415381,Other Frequent Travelers,6,No Cancellation Fees
415581,Luxury Lovers,5,Free Hotel Meal
416319,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
416580,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
417679,Big Spenders,2,1 Night Free (with Flight Booking)
418329,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
418488,Other Frequent Travelers,6,No Cancellation Fees
418692,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
420648,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
420669,Luxury Lovers,5,Free Hotel Meal
421247,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
421515,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
421666,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
421700,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
421870,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
422066,Big Spenders,2,1 Night Free (with Flight Booking)
422668,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
423042,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
423413,Luxury Lovers,5,Free Hotel Meal
424553,Other Frequent Travelers,6,No Cancellation Fees
425632,Other Frequent Travelers,6,No Cancellation Fees
425653,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
425953,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
425966,Luxury Lovers,5,Free Hotel Meal
426478,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
427426,Other Frequent Travelers,6,No Cancellation Fees
427506,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
428056,Luxury Lovers,5,Free Hotel Meal
428552,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
428858,Luxury Lovers,5,Free Hotel Meal
429345,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
429375,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
430722,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
431144,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
431337,Other Frequent Travelers,6,No Cancellation Fees
431602,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
431746,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
431899,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
431912,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
432333,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
432637,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
432941,Big Spenders,2,1 Night Free (with Flight Booking)
433080,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
433339,Luxury Lovers,5,Free Hotel Meal
433905,Luxury Lovers,5,Free Hotel Meal
434238,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
434623,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
435231,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
435596,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
435669,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
435837,Luxury Lovers,5,Free Hotel Meal
435882,Luxury Lovers,5,Free Hotel Meal
436320,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
436894,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
437069,Big Spenders,2,1 Night Free (with Flight Booking)
437162,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
437251,Other Frequent Travelers,6,No Cancellation Fees
437539,Other Frequent Travelers,6,No Cancellation Fees
437549,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
438189,Big Spenders,2,1 Night Free (with Flight Booking)
438406,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
438551,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
438596,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
438839,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
438937,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
438985,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
438995,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
439052,Big Spenders,2,1 Night Free (with Flight Booking)
439120,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
439363,Other Frequent Travelers,6,No Cancellation Fees
440212,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
440655,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
441200,Other Frequent Travelers,6,No Cancellation Fees
441205,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
441448,Luxury Lovers,5,Free Hotel Meal
441457,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
441982,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
442484,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
442718,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
442812,Luxury Lovers,5,Free Hotel Meal
442819,Luxury Lovers,5,Free Hotel Meal
442833,Big Spenders,2,1 Night Free (with Flight Booking)
443305,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
443453,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
443598,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
443652,Other Frequent Travelers,6,No Cancellation Fees
444387,Other Frequent Travelers,6,No Cancellation Fees
444885,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
445351,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
445515,Luxury Lovers,5,Free Hotel Meal
446124,Other Frequent Travelers,6,No Cancellation Fees
446138,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
446473,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
446933,Other Frequent Travelers,6,No Cancellation Fees
447053,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
447591,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
447737,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
447951,Luxury Lovers,5,Free Hotel Meal
448025,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
448154,Luxury Lovers,5,Free Hotel Meal
448295,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
448467,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
448564,Other Frequent Travelers,6,No Cancellation Fees
449033,Other Frequent Travelers,6,No Cancellation Fees
449326,Luxury Lovers,5,Free Hotel Meal
449619,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
449804,Other Frequent Travelers,6,No Cancellation Fees
449980,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
450164,Other Frequent Travelers,6,No Cancellation Fees
450193,Big Spenders,2,1 Night Free (with Flight Booking)
450305,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
450615,Other Frequent Travelers,6,No Cancellation Fees
451291,Other Frequent Travelers,6,No Cancellation Fees
451674,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
452034,Luxury Lovers,5,Free Hotel Meal
452532,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
452594,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
452612,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
453143,Other Frequent Travelers,6,No Cancellation Fees
453168,Other Frequent Travelers,6,No Cancellation Fees
454264,Luxury Lovers,5,Free Hotel Meal
454430,Big Spenders,2,1 Night Free (with Flight Booking)
454616,Luxury Lovers,5,Free Hotel Meal
454661,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
454920,Big Spenders,2,1 Night Free (with Flight Booking)
454934,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
454955,Luxury Lovers,5,Free Hotel Meal
456226,Luxury Lovers,5,Free Hotel Meal
456318,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
456663,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
456671,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
457468,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
457599,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
457967,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
458479,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
458688,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
458725,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
458762,Other Frequent Travelers,6,No Cancellation Fees
458814,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
458855,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
458919,Luxury Lovers,5,Free Hotel Meal
459229,Big Spenders,2,1 Night Free (with Flight Booking)
459486,Luxury Lovers,5,Free Hotel Meal
459645,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
460072,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
460181,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
460553,Luxury Lovers,5,Free Hotel Meal
460625,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
461559,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
461744,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
461791,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
462127,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
462456,Other Frequent Travelers,6,No Cancellation Fees
462894,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
463652,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
463698,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
463783,Luxury Lovers,5,Free Hotel Meal
463867,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
463910,Big Spenders,2,1 Night Free (with Flight Booking)
464080,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
464160,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
464239,Other Frequent Travelers,6,No Cancellation Fees
464542,Luxury Lovers,5,Free Hotel Meal
464597,Luxury Lovers,5,Free Hotel Meal
464614,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
464673,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
464782,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
464855,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
465138,Other Frequent Travelers,6,No Cancellation Fees
465343,Big Spenders,2,1 Night Free (with Flight Booking)
465531,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
465568,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
465731,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
466205,Luxury Lovers,5,Free Hotel Meal
466342,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
466723,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
467007,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
467092,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
467339,Other Frequent Travelers,6,No Cancellation Fees
467809,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
467892,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
468106,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
468370,Other Frequent Travelers,6,No Cancellation Fees
468409,Other Frequent Travelers,6,No Cancellation Fees
468666,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
468801,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
468808,Other Frequent Travelers,6,No Cancellation Fees
468832,Other Frequent Travelers,6,No Cancellation Fees
469237,Luxury Lovers,5,Free Hotel Meal
469418,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
469440,Other Frequent Travelers,6,No Cancellation Fees
469464,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
469699,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
469767,Other Frequent Travelers,6,No Cancellation Fees
469824,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
471077,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
471161,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
471186,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
471500,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
471565,Luxury Lovers,5,Free Hotel Meal
471649,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
471687,Big Spenders,2,1 Night Free (with Flight Booking)
471717,Other Frequent Travelers,6,No Cancellation Fees
471935,Other Frequent Travelers,6,No Cancellation Fees
471946,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
471973,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
472394,Luxury Lovers,5,Free Hotel Meal
472446,Luxury Lovers,5,Free Hotel Meal
472614,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
472713,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
472785,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
472966,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
473332,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
473343,Other Frequent Travelers,6,No Cancellation Fees
473402,Luxury Lovers,5,Free Hotel Meal
473467,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
473568,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
473712,Other Frequent Travelers,6,No Cancellation Fees
473847,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
474007,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
474120,Big Spenders,2,1 Night Free (with Flight Booking)
474239,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
474261,Luxury Lovers,5,Free Hotel Meal
474278,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
474384,Other Frequent Travelers,6,No Cancellation Fees
474464,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
474546,Big Spenders,2,1 Night Free (with Flight Booking)
474951,Other Frequent Travelers,6,No Cancellation Fees
474980,Other Frequent Travelers,6,No Cancellation Fees
475060,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
475130,Other Frequent Travelers,6,No Cancellation Fees
475467,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
475531,Other Frequent Travelers,6,No Cancellation Fees
476081,Other Frequent Travelers,6,No Cancellation Fees
476104,Other Frequent Travelers,6,No Cancellation Fees
476124,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
476173,Luxury Lovers,5,Free Hotel Meal
476270,Other Frequent Travelers,6,No Cancellation Fees
476393,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
476436,Other Frequent Travelers,6,No Cancellation Fees
476535,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
476665,Big Spenders,2,1 Night Free (with Flight Booking)
476693,Luxury Lovers,5,Free Hotel Meal
476714,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
476742,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
476916,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
476956,Other Frequent Travelers,6,No Cancellation Fees
477285,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
477316,Other Frequent Travelers,6,No Cancellation Fees
477597,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
477730,Big Spenders,2,1 Night Free (with Flight Booking)
477805,Luxury Lovers,5,Free Hotel Meal
478003,Other Frequent Travelers,6,No Cancellation Fees
478146,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
478188,Other Frequent Travelers,6,No Cancellation Fees
478228,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
478291,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
478533,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
478585,Other Frequent Travelers,6,No Cancellation Fees
478760,Luxury Lovers,5,Free Hotel Meal
478801,Other Frequent Travelers,6,No Cancellation Fees
478834,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
479071,Other Frequent Travelers,6,No Cancellation Fees
479078,Luxury Lovers,5,Free Hotel Meal
479101,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
479254,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
479524,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
479785,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
480186,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
480313,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
480331,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
480690,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
480796,Luxury Lovers,5,Free Hotel Meal
480877,Bargain Hunters (High-Spenders),3,Exclusive Discounts (10%)
480895,Luxury Lovers,5,Free Hotel Meal
480975,Zerobookers,1,"Free Checked Bag + Irresistible ""First Booking"" Offer"
481050,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
481245,Bargain Hunters (Budget),4,Exclusive Discounts (10%)
481292,Other Frequent Travelers,6,No Cancellation Fees
481358,Other Infrequent Travelers,7,Exclusive Discounts (10%) + Discount on Next Booking
481554,Big Spenders,2,1 Night Free (with Flight Booking)
481622,Big Spenders,2,1 Night Free (with Flight Booking)
